"wu_name","node_name","start_blast","end_blast","start_blast_epoch","end_blast_epoch","ID","sent","received","diff_sent","diff_rec","diff_blast","diff_all","diff_server_client"
"blast500k_test_pub_fileFULL_gr_1048","IS24T-06XX253-DT","Tue 11/17/2015-20:30:01.84","Tue 11/17/2015-20:50:17.20",1447767001,1447768217,19335,1447766974,1447768233,27,16,1216,1259,43
"blast500k_test_pub_fileFULL_gr_1049","IS24T-06XX282-DT","Tue 11/17/2015-20:16:37.48","Tue 11/17/2015-20:30:10.80",1447766197,1447767010,19336,1447766179,1447767035,18,25,813,856,43
"blast500k_test_pub_fileFULL_gr_105","IS24T-06XX278-DT","Tue 11/17/2015-17:46:27.08","Tue 11/17/2015-18:03:40.28",1447757187,1447758220,18392,1447757158,1447758250,29,30,1033,1092,59
"blast500k_test_pub_fileFULL_gr_1050","IS24T-06XX266-DT","Tue 11/17/2015-20:38:38.50","Tue 11/17/2015-20:56:09.65",1447767518,1447768569,19337,1447767491,1447768589,27,20,1051,1098,47
"blast500k_test_pub_fileFULL_gr_1051","IS24T-06XX255-DT","Tue 11/17/2015-20:23:06.94","Tue 11/17/2015-20:42:29.84",1447766586,1447767749,19338,1447766572,1447767765,14,16,1163,1193,30
"blast500k_test_pub_fileFULL_gr_1052","IS24T-06XX264-DT","Tue 11/17/2015-20:27:42.20","Tue 11/17/2015-20:55:52.72",1447766862,1447768552,19339,1447766832,1447768564,30,12,1690,1732,42
"blast500k_test_pub_fileFULL_gr_1053","IS24T-06XX300-DT","Tue 11/17/2015-20:41:58.70","Tue 11/17/2015-21:00:33.08",1447767718,1447768833,19340,1447767716,1447768848,2,15,1115,1132,17
"blast500k_test_pub_fileFULL_gr_1054","IS24T-06XX284-DT","Tue 11/17/2015-20:53:34.87","Tue 11/17/2015-21:26:19.71",1447768414,1447770379,19341,1447768428,1447770443,-14,64,1965,2015,50
"blast500k_test_pub_fileFULL_gr_1055","IS24T-06XX289-DT","Tue 11/17/2015-20:16:10.36","Tue 11/17/2015-20:32:47.51",1447766170,1447767167,19342,1447766174,1447767199,-4,32,997,1025,28
"blast500k_test_pub_fileFULL_gr_1056","IS24T-06XX281-DT","Tue 11/17/2015-20:36:35.04","Tue 11/17/2015-20:55:57.43",1447767395,1447768557,19343,1447767380,1447768582,15,25,1162,1202,40
"blast500k_test_pub_fileFULL_gr_1057","IS24T-06XX281-DT","Tue 11/17/2015-20:16:16.23","Tue 11/17/2015-20:36:07.55",1447766176,1447767367,19344,1447766160,1447767392,16,25,1191,1232,41
"blast500k_test_pub_fileFULL_gr_1058","IS24T-06XX279-DT","Tue 11/17/2015-20:34:03.52","Tue 11/17/2015-20:53:16.14",1447767243,1447768396,19345,1447767247,1447768442,-4,46,1153,1195,42
"blast500k_test_pub_fileFULL_gr_1059","IS24T-06XX281-DT","Tue 11/17/2015-20:31:23.48","Tue 11/17/2015-20:39:34.74",1447767083,1447767574,19346,1447767069,1447767598,14,24,491,529,38
"blast500k_test_pub_fileFULL_gr_106","IS24T-06XX288-DT","Tue 11/17/2015-17:45:32.33","Tue 11/17/2015-18:12:32.15",1447757132,1447758752,18393,1447757076,1447758765,56,13,1620,1689,69
"blast500k_test_pub_fileFULL_gr_1060","IS24T-06XX264-DT","Tue 11/17/2015-20:57:34.84","Tue 11/17/2015-21:28:26.46",1447768654,1447770506,19347,1447768627,1447770524,27,18,1852,1897,45
"blast500k_test_pub_fileFULL_gr_1061","IS24T-06XX298-DT","Tue 11/17/2015-20:20:18.30","Tue 11/17/2015-20:43:30.77",1447766418,1447767810,19348,1447766457,1447767881,-39,71,1392,1424,32
"blast500k_test_pub_fileFULL_gr_1062","IS24T-06XX260-DT","Tue 11/17/2015-20:18:53.54","Tue 11/17/2015-20:38:41.62",1447766333,1447767521,19349,1447766315,1447767538,18,17,1188,1223,35
"blast500k_test_pub_fileFULL_gr_1063","IS24T-06XX258-DT","Tue 11/17/2015-20:30:23.31","Tue 11/17/2015-20:49:21.81",1447767023,1447768161,19350,1447767012,1447768177,11,16,1138,1165,27
"blast500k_test_pub_fileFULL_gr_1064","IS24T-06XX254-DT","Tue 11/17/2015-20:34:03.75","Tue 11/17/2015-21:00:01.77",1447767243,1447768801,19351,1447767211,1447768820,32,19,1558,1609,51
"blast500k_test_pub_fileFULL_gr_1065","IS24T-06XX283-DT","Tue 11/17/2015-20:58:39.46","Tue 11/17/2015-21:14:35.04",1447768719,1447769675,19352,1447768706,1447769702,13,27,956,996,40
"blast500k_test_pub_fileFULL_gr_1066","IS24T-06XX299-DT","Tue 11/17/2015-20:36:41.96","Tue 11/17/2015-20:55:26.64",1447767401,1447768526,19353,1447767413,1447768582,-12,56,1125,1169,44
"blast500k_test_pub_fileFULL_gr_1067","IS24T-06XX268-DT","Tue 11/17/2015-20:42:16.47","Tue 11/17/2015-20:59:13.30",1447767736,1447768753,19354,1447767712,1447768767,24,14,1017,1055,38
"blast500k_test_pub_fileFULL_gr_1068","IS24T-06XX257-DT","Tue 11/17/2015-20:29:05.81","Tue 11/17/2015-20:41:54.21",1447766945,1447767714,19355,1447766920,1447767730,25,16,769,810,41
"blast500k_test_pub_fileFULL_gr_1069","IS24T-06XX267-DT","Tue 11/17/2015-20:28:57.55","Tue 11/17/2015-20:49:09.53",1447766937,1447768149,19356,1447766914,1447768164,23,15,1212,1250,38
